Систематски список на општини и населени места во Република Македонија,,,,,
според Законот за територијална организација на локалната самоуправа (Службен весник на Република Македонија бр. 55/04 и 12/05),,,,,
,,,,Состојба на податоците: 01.01.2009,
Матичен број на општина,Назив на општина,Матичен број на населено место,Назив на населено место,Град (г) / Село (с),
0019,Град Скопје*,499994,Скопје,г,
0094,Аеродром,419478,Долно Лисиче,с,
0094,Аеродром,491098,Скопје - Аеродром,г,
0108,Бутел,419516,Визбегово,с,
0108,Бутел,414999,Љубанци,с,
0108,Бутел,415006,Љуботен,с,
0108,Бутел,415049,Радишани,с,
0108,Бутел,491101,Скопје - Бутел,г,
0027,Гази Баба,413763,Брњарци,с,
0027,Гази Баба,413780,Булачани,с,
0027,Гази Баба,419311,Гоце Делчев,с,
0027,Гази Баба,413887,Идризово,с,
0027,Гази Баба,419281,Инџиково,с,
0027,Гази Баба,413909,Јурумлери,с,
0027,Гази Баба,414069,Раштак,с,
0027,Гази Баба,419320,Сингелиќ,с,
0027,Гази Баба,491012,Скопје - Гази Баба,г,
0027,Гази Баба,419338,Смиљковци,с,
0027,Гази Баба,419346,Стајковци,с,
0027,Гази Баба,414085,Страчинци,с,
0027,Гази Баба,419354,Трубарево,с,
0027,Гази Баба,414115,Црешево,с,
0035,Ѓорче Петров,419362,Волково,с,
0035,Ѓорче Петров,414166,Грачани,с,
0035,Ѓорче Петров,414255,Кучково,с,
0035,Ѓорче Петров,414280,Никиштане,с,
0035,Ѓорче Петров,419389,Ново Село,с,
0035,Ѓорче Петров,414298,Орман,с,
0035,Ѓорче Петров,491071,Скопје - Ѓорче Петров,г,
0043,Карпош,419419,Бардовци,с,
0043,Карпош,419435,Горно Нерези,с,
0043,Карпош,491039,Скопје - Карпош,г,
0051,Кисела Вода,419494,Драчево,с,
0051,Кисела Вода,491047,Скопје - Кисела Вода,г,
0051,Кисела Вода,414859,Усје,с,
0116,Сарај,414123,Арнакија,с,
0116,Сарај,414131,Бојане,с,
0116,Сарај,414140,Буковиќ,с,
0116,Сарај,419613,Глумово,с,
0116,Сарај,414158,Горно Свиларе,с,
0116,Сарај,414174,Грчец,с,
0116,Сарај,414182,Дворце,с,
0116,Сарај,414204,Долно Свиларе,с,
0116,Сарај,414212,Кондово,с,
0116,Сарај,414239,Копаница,с,
0116,Сарај,414247,Крушопек,с,
0116,Сарај,414263,Ласкарци,с,
0116,Сарај,414271,Љубин,с,
0116,Сарај,419621,Матка,с,
0116,Сарај,414301,Паничари,с,
0116,Сарај,414310,Радуша,с,
0116,Сарај,414328,Раовиќ,с,
0116,Сарај,414336,Рашче,с,
0116,Сарај,414344,Рудник Радуша,с,
0116,Сарај,414352,Семениште,с,
0116,Сарај,491110,Скопје - Сарај,г,
0116,Сарај,414379,Чајлане,с,
0116,Сарај,419648,Шишево,с,
0060,Центар,491055,Скопје - Центар,г,
0078,Чаир,491063,Скопје - Чаир,г,
0086,Шуто Оризари,419524,Горно Оризари,с,
0086,Шуто Оризари,491080,Скопје - Шуто Оризари,г,
1015,Арачиново,413712,Арачиново,с,
1015,Арачиново,413836,Грушино,с,
1015,Арачиново,413984,Мојанци,с,
1015,Арачиново,414026,Орланци,с,
1040,Берово,400017,Берово,г,
1040,Берово,400025,Будинарци,с,
1040,Берово,400033,Владимирово,с,
1040,Берово,400041,Двориште,с,
1040,Берово,400050,Мачево,с,
1040,Берово,400068,Митрашинци,с,
1040,Берово,400106,Ратево,с,
1040,Берово,400122,Русиново,с,
1040,Берово,400149,Смојмирово,с,
1066,Битола,400211,Барешани,с,
1066,Битола,400254,Бистрица,с,
1066,Битола,400262,Битола,г,
